upload rex/hello
upload rex/hello0
upload rex/hello1
upload rex/hello2
upload rex/hello3
upload rex/hello4
upload rex/deng
upload rex/deng0
upload rex/deng1
upload rex/deng2
upload rex/deng3
upload rex/deng4
upload rex/angela
upload rex/angela0
upload rex/angela1
upload rex/angela2
upload rex/angela3
upload rex/angela4
upload rex/chen
upload rex/chen0
upload rex/chen1
upload rex/chen2
upload rex/chen3
upload rex/chen4
upload rex/feng
upload rex/feng0
upload rex/feng1
upload rex/feng2
upload rex/feng3
upload rex/feng4
list rex
add 129.210.16.73
list rex
remove 129.210.16.73
list rex
end
